item_id,store_id,date,y,yhat_mean,yhat_var
59.0,6.0,2016-01-01,2.0,0.73,0.73
27.0,7.0,2016-01-01,2.0,0.13,0.14
70.0,5.0,2016-01-01,2.0,2.85,4.65
34.0,0.0,2016-01-01,6.0,6.34,30.74
84.0,8.0,2016-01-01,2.0,2.38,7.17
10.0,0.0,2016-01-01,1.0,0.39,0.53
20.0,1.0,2016-01-01,0.0,0.79,0.86
81.0,8.0,2016-01-01,2.0,0.34,0.38
93.0,4.0,2016-01-01,0.0,0.24,0.25
26.0,9.0,2016-01-01,2.0,0.62,0.98
95.0,7.0,2016-01-01,0.0,1.19,1.87
33.0,7.0,2016-01-01,1.0,0.8,0.89
96.0,5.0,2016-01-01,1.0,1.51,2.03
94.0,4.0,2016-01-01,0.0,0.45,0.65
82.0,9.0,2016-01-01,1.0,1.5,2.67
48.0,9.0,2016-01-01,1.0,0.49,0.5
17.0,8.0,2016-01-01,0.0,0.19,0.19
83.0,2.0,2016-01-01,3.0,2.1,4.74
34.0,1.0,2016-01-01,0.0,1.38,2.75
97.0,1.0,2016-01-01,0.0,0.31,0.41
52.0,1.0,2016-01-01,2.0,1.36,2.79
74.0,1.0,2016-01-01,3.0,2.54,6.36
2.0,4.0,2016-01-01,1.0,1.14,1.92
87.0,9.0,2016-01-01,38.0,27.42,334.78
0.0,2.0,2016-01-01,1.0,0.63,0.63
67.0,1.0,2016-01-01,3.0,0.16,0.19
76.0,5.0,2016-01-01,0.0,0.55,0.85
77.0,2.0,2016-01-01,0.0,0.44,0.56
99.0,4.0,2016-01-01,0.0,0.6,0.83
81.0,4.0,2016-01-01,1.0,0.97,1.9
21.0,2.0,2016-01-01,1.0,0.11,0.12
55.0,7.0,2016-01-01,15.0,11.28,39.81
47.0,9.0,2016-01-01,3.0,3.25,13.78
10.0,5.0,2016-01-01,0.0,0.34,0.42
42.0,4.0,2016-01-01,2.0,0.32,0.42
9.0,8.0,2016-01-01,1.0,1.11,1.76
13.0,5.0,2016-01-01,0.0,0.62,0.86
20.0,9.0,2016-01-01,1.0,0.54,0.63
16.0,8.0,2016-01-01,6.0,12.84,67.23
69.0,2.0,2016-01-01,2.0,1.07,2.18
98.0,3.0,2016-01-01,0.0,1.23,2.17
25.0,4.0,2016-01-01,2.0,0.44,0.5
81.0,0.0,2016-01-01,3.0,1.86,3.9
53.0,0.0,2016-01-01,0.0,0.86,1.06
34.0,9.0,2016-01-01,3.0,2.9,9.68
35.0,8.0,2016-01-01,0.0,0.87,1.06
18.0,5.0,2016-01-01,0.0,0.13,0.14
11.0,2.0,2016-01-01,11.0,9.81,77.07
45.0,7.0,2016-01-01,0.0,0.74,1.3
45.0,1.0,2016-01-01,0.0,0.26,0.33
89.0,7.0,2016-01-01,6.0,1.24,2.38
60.0,9.0,2016-01-01,0.0,0.34,0.45
55.0,3.0,2016-01-01,4.0,2.96,6.86
41.0,1.0,2016-01-01,16.0,18.61,118.92
41.0,7.0,2016-01-01,8.0,8.81,85.33
60.0,7.0,2016-01-01,0.0,0.69,0.96
7.0,0.0,2016-01-01,1.0,0.68,1.14
63.0,8.0,2016-01-01,7.0,0.98,1.94
68.0,3.0,2016-01-01,3.0,1.54,3.92
38.0,6.0,2016-01-01,3.0,1.73,4.32
86.0,8.0,2016-01-01,19.0,17.9,211.34
28.0,7.0,2016-01-01,0.0,0.31,0.37
69.0,1.0,2016-01-01,1.0,0.68,1.12
25.0,3.0,2016-01-01,0.0,0.46,0.5
19.0,5.0,2016-01-01,1.0,0.99,1.98
64.0,7.0,2016-01-01,1.0,0.24,0.3
18.0,3.0,2016-01-01,0.0,0.43,0.52
52.0,7.0,2016-01-01,0.0,1.64,2.85
25.0,7.0,2016-01-01,4.0,2.09,3.05
23.0,0.0,2016-01-01,2.0,2.5,6.79
85.0,5.0,2016-01-01,0.0,0.94,1.63
94.0,1.0,2016-01-01,1.0,2.45,7.3
96.0,6.0,2016-01-01,2.0,0.71,0.93
15.0,0.0,2016-01-01,0.0,0.93,1.37
19.0,0.0,2016-01-01,3.0,3.36,14.61
12.0,2.0,2016-01-01,0.0,0.38,0.53
30.0,7.0,2016-01-01,14.0,8.09,24.9
27.0,6.0,2016-01-01,0.0,0.34,0.44
63.0,7.0,2016-01-01,2.0,0.87,1.63
84.0,2.0,2016-01-01,2.0,1.39,2.81
3.0,8.0,2016-01-01,1.0,4.72,10.12
87.0,7.0,2016-01-01,17.0,12.67,82.65
50.0,6.0,2016-01-01,1.0,0.1,0.1
46.0,0.0,2016-01-01,4.0,2.14,3.68
14.0,7.0,2016-01-01,2.0,1.2,2.63
27.0,1.0,2016-01-01,0.0,0.41,0.57
93.0,8.0,2016-01-01,0.0,0.66,0.82
73.0,9.0,2016-01-01,0.0,0.49,0.72
7.0,9.0,2016-01-01,0.0,0.34,0.46
84.0,3.0,2016-01-01,2.0,0.48,0.71
85.0,2.0,2016-01-01,2.0,0.96,1.24
